id;cnr;collection;comment;esac_key;esac_title;function;melstring;region;signature;source;text;tunefamily;unit
Q0134C;der trug eine Feder an seinem Hut, seinem Hut.;BALLADEN;;C-maj;"Der Gluecksjaeger
    Es war ein Jaeger von stolzem Mut, stolzem Mut,";Ballade, Jagd, Flucht, Verfuehrung;"-5_  1__1_  3_.21_  2_.1-7_  2_.1-7_
    2_2_22  2__-6-6  -6_.-5-5_  -6_.-5-5_
    1_-7_1_  -5_-6_-5_  1_-7_1_  -5_-6_-5_
    1_1_11  3_.11_  2_.32_  1__ //";Suedosteuropa, Rumaenien, Bukowina, Eichenau;3/8;"6, S. 193
    1937 aufgezeichnet (ca.)";;Q0134;16
Q0134D;er bloste das Wild wohl aus dem Korn,;BALLADEN;;C-maj;"Der Gluecksjaeger
    Es blost ein Jaeger wohl in sein Horn,";Ballade, Jagd, Flucht, Verfuehrung;"5_  +1__7_6_5__5_5_  6__5_4_3__0_
    3_  5__6_4_2_.34_2_  3_.45_3_1__0_
    5_  5_+1_+1_+1_+1_.+2+3_+1_  5_+2_+2_+2_+2_.+3+4_
    +5_  +3__+2__+1__0_ //";Mitteleuropa, Deutschland (BRD) , Baden, Horben;4/4;"6, S. 194
    1848 aufgezeichnet";;Q0134;16
Q0135;wollt' Gersten aufbinden,;BALLADEN;;G-maj;"Gerstebinden
    Es war eins Bauren Toechterlein,";Ballade, Beischlaf, Leiden;"1_1_1_  1_1_2_2_  2__
    6__  7b_.65__  4__5__  0__.
    5_  6__6_6_  ^_6_7b__  6___
    5__4_2_  3_.45__  0__
    5__  4_2_3_.4  5__0__  0__
    5_5_  4_3_1__  0__.
    1_  2_.34_5_  ^_6_5_4_  ^_3_2__  1__
    2_-7b_  ^_1_5__  1___ //";Mitteleuropa, Deutschland;2/2;"6, S. 202
    1534 gedruckt in Nuernberg; Satz: Ludwig Senfl";;Q0135;8
Q0135A;wolt gersten auffbinden,;BALLADEN;;G-maj;"Gerstebinden
    Da kam bruder Hanigken,";Ballade, Beischlaf, Leiden;"1_  1__1__  ^_1_2_2_  2__
    6__  7b_.65__  4__5_
    5_  5_5_5_5_  1__0_ //";Mitteleuropa, Deutschland;4/2;"6, S. 203
    1544 gedruckt in Nuernberg; Satz: Wolfgang Schmeltzl";;Q0135;4
Q0135C;wollt' Gersten aufbinden,;BALLADEN;;G-maj;"Gerstebinden
    Es war eins Bauren Toechterlein,";Ballade, Beischlaf, Leiden;"1_  1_1_1_1_  2_2_2__
    6__  7b_.65__4__  5__0_
    5_  6__6_6__6_  7b__6__
    5__4__2__  3_4_5__
    5_5_4_3_  1__0_
    1_  2_.3_45__  6_5_4__3_2__  1___ //";Mitteleuropa, Deutschland;FREE;"6, S. 208
    1534 gedruckt in Nuernberg; Satz: Ludwig Senfl";;Q0135;8
Q0136;"datt wold so gerne denen;";BALLADEN;;F-maj;"Kornschneiden
    Idt is ein Boicken kamen int landt,";Ballade, Beischlaf, Schwangerschaft, Moral;"1  1_-5  1_2  3_3  2_
    1  1_-5  1_2  3_.  2_
    1  2_3  4_5  3_3  2_
    2  1_1  -5-6-7b  -6_.  -5_ //";Mitteleuropa, Deutschland;3/4;"6, S. 210
    1608 Handschrift (1603 - 08)";;Q0136;4
Q0136A;;BALLADEN;;G-maj;"Kornschneiden
    ohne Text";Ballade, Beischlaf, Schwangerschaft, Moral;"-5  1_-5  1_2  323  2_
    -5  1_-7  1_2  3_.  2_
    -5  1_-5  1_2  323  2_
    -5  1_-7  1_2  3_.  2_
    2  3_4  5_5  434  3_
    3  232  -6-71  -7_.  -6_ //";Mitteleuropa, Niederlande;3/4;"6, S. 212
    1625 Handschrift";;Q0136;4
Q0136B;;BALLADEN;;G-maj;"Kornschneiden
    ohne Text";Ballade, Beischlaf, Schwangerschaft, Moral;"1__-5_1__2_  3_.23_2__
    -7_  1__-5_.-51_2_  3__.2__.
    2__3_  4__4_  3__3_  2__
    -7_  1__1_  -7__1-7  -6_.-5-4#_-5__.
    11-7-6-5-4  1__2_  31343_  2__
    -7_  1__-5_  1__2_  3_.23_  2__.
    2_-7123  4__4_  3_.23_  -712
    -5-6-7  1__1_  -7__1_  -4#-5-6-5-3-4#  -5__. //";Westeuropa, England (?);6/4 3/4;"6, S. 212
    1600 gedruckt (ca.)";;Q0136;8
Q0137;da steht ein gruene Linde.;BALLADEN;;C-maj;"Nachtigall als Warnerin
    Da drobn vor meines Vaters Haus,";"Ballade, Allegorie; lyrisch (?)";"5  3_3  5_5  +1_+1  5_
    5  6_+1  7_+2  +2_.  +1_
    5  +3_+3  +3+2+1  7_6  6_
    6  7_7  7_+2  +2_.  +1_
    5  +3_+3  +3+2+1  7_6  6_
    6  7_7  7_+2  +2_.  +1_ //";"Mitteleuropa, Deutschland / Polen, Pommern, Kr. Rummelsburg,
    Gross Schwirsen";3/4;"6, S. 220
    1937 aufgezeichnet";;Q0137;4
Q0137A;"aw enem graene' Naesztchen;";BALLADEN;;G-maj;"Nachtigall als Warnerin
    Et sas e kli Waeltfijeltchen";"Ballade, Allegorie; lyrisch (?)";"-5_  1_.11__.2_  3b_.21__.
    1_  5_5_-5_-5_  1__1__0_
    5_  5_.43b__.5_  4_.3b2__0_
    2_  1_.13b__.-7_  1__1__0_ //";Suedosteuropa, Rumaenien, Siebenbuergen, Muehlbach;FREE;"6, S. 221
    1857 gedruckt in Hermannstadt";;Q0137;16
Q0137B;auf einem gruenen Aestchen.;BALLADEN;;G-maj;"Nachtigall als Warnerin
    Es sass ein klein wild Voegelein";"Ballade, Allegorie; lyrisch (?)";"-5_  1__.1_1_2_  3b_.21__.
    1_  5_.5-5__-5__  1__1__0_
    5_  5_.43b__.5_  4_.3b2__.
    2_  1_2_3b__-7__  1__1__0_
    5_  5_.43b__.5_  4_.3b2__.
    2_  1_2_3b__-7__  1__1__0_ //";Osteuropa, Polen, Wolhynien, Kr. Kutno, Gem. Dobrzelin, Chocholow;3/4;"6, S. 222
    1941 aufgezeichnet";;Q0137;16
Q0137C;da steht eine grosse Linde,;BALLADEN;;C-maj;"Nachtigall als Warnerin
    Da droben vor meines Vaters Haus,";"Ballade, Allegorie; lyrisch (?)";"5__  3__.3_3__  5___5__  +1___+1__  5___
    5__  5___+1_.+1  7___+2__  +2___.  +1___
    5__  +3___+3__  +3__+2__+1__  7___6__  6___
    6__  7___7__  +2___+2__  +2___.  +1___
    5__  +3___+3__  +3__+2__+1__  7___6__  6___
    6__  7___7__  +2___+2__  +2___.  +1___ //";Mitteleuropa, Deutschland / Polen, Westpreussen;3/4;"6, S. 234
    ????";;Q0137;16
Q0137D;steht eine gruene Linde,;BALLADEN;;C-maj;"Nachtigall als Warnerin
    Da droben bei meines Vaters Haus,";"Ballade, Allegorie; lyrisch (?)";"5_  3_.33_5__5_  +1__+1_5__
    5_  6__+1_7__+2_  +2__.+1__
    5_  +3__+3_+3_+2_+1_  7__6_6__
    6_  7__7_+2__+2_  +2__.+1__ //";Mitteleuropa, Deutschland (DDR) , Brandenburg;6/4;"6, S. 234
    ????";;Q0137;8
Q0137E;da steht eine hohe Linde,;BALLADEN;;C-maj;"Nachtigall als Warnerin
    Dort oben vor meines Vaters Haus,";"Ballade, Allegorie; lyrisch (?)";"5_  3_.33_  5__5_  +1__+1_  5__
    +1_  6_6_+1_  7__+2_  +2__.  +1__
    5_  +3_+2_+1_  +3_+2_+1_  7__6_  6__
    6_  7__7_  7__+2_  +2__.  +1__ //";Mitteleuropa, Deutschland (BRD) , Hessen, Nassau;3/4;"6, S. 234
    ????";;Q0137;8
Q0137F;da steht 'ne gruene Linde,;BALLADEN;;C-maj;"Nachtigall als Warnerin
    Da droben vor meines Vaters Haus,";"Ballade, Allegorie; lyrisch (?)";"5_  5_555_5_  +1_+1_5_
    5_  6_+1_7_+2_  +2__+1_
    5_  +3_+3_+3_+3_  +5_+5_+4_
    +2_  +5_+5_+5_+4_  +4__+3_ //";Mitteleuropa, Deutschland (BRD) , Hessen, Nassau;4/4;"6, S. 234
    ????";;Q0137;8
Q0137G;steht eine gruene Linde,;BALLADEN;;C-maj;"Nachtigall als Warnerin
    Dort oben vor meines Vaters Haus,";"Ballade, Allegorie; lyrisch (?)";"5_  +1_.+1+1_  5__5_  6__6_  5__
    5_  5__+1_  7__+2_  +2_+1__
    5_  +3__+3_  +3_+2_+1_  +5__+4_  +4__.
    5_  +5__+5_  +5__+4_  +4_+3__ //";Mitteleuropa, Deutschland (BRD) , Hessen, Nassau;FREE;"6, S. 234
    ????";;Q0137;8
Q0137H;da steht eine bluehende Linde,;BALLADEN;;C-maj;"Nachtigall als Warnerin
    Da droben vor meines Vaters Haus,";"Ballade, Allegorie; lyrisch (?)";"5_  3_.33_5__5_  +1__+1_5__
    5_  6__6+17_7_+2_  +2__.+1__
    5_  +3__+3_+3_+2_+1_  7__6_6__
    6_  7__7_+2__+2_  +2__.+1_0_ //";Mitteleuropa, Deutschland (BRD) , Rheinland;6/4;"6, S. 234
    ????";;Q0137;8
Q0137I;gedacht ich an die Liebe,;BALLADEN;;G-maj;"Nachtigall als Warnerin
    Naechten als ich schlafen ging,";"Ballade, Allegorie; lyrisch (?)";"1-51_1_  -712_.
    2  321_2_  432_0
    4  352_.4  351_.
    2  315_31  2_1_0_ //";Mitteleuropa, Deutschland / Polen, Schlesien;3/4;"6, S. 237
    1842 gedruckt in Leipzig";;Q0137;8
Q0137J;gedacht ich an die Liebe,;BALLADEN;;G-maj;"Nachtigall als Warnerin
    Naechten als ich schlafen ging,";"Ballade, Allegorie; lyrisch (?)";"1_-5_1__1__  -7_1_2__0_
    1_  3_2_1__2__  4_.32__0_
    4_  3_5_2__.4_  3_5_1__.
    2_  3_1_5_3_1__  3_.21__0__ //";Mitteleuropa, Deutschland / Polen, Schlesien;3/4;"6, S. 237
    1842 aufgezeichnet (vor)";;Q0137;16
Q0137K;Die Nachtigall, die schoene;BALLADEN;;G-maj;"Nachtigall als Warnerin
    Was sitzt dort auf dem Lindle gruen?";"Ballade, Allegorie; lyrisch (?)";"-5  1_3321  2_443
    2  3_5543  320_.
    3  5_3345  4342_
    2  3_3232  21__ //";Mitteleuropa, Deutschland / Polen, Schlesien;6/8;"6, S. 237
    ????";;Q0137;8
Q0138;sie ging gar wunderschoene.;BALLADEN;;G-maj;"Maedchen und Hasel
    Es wollt ein Maedel zum Tanze gehn,";Ballade, verlorene Unschuld, Moral;"-5_  1_-7_1_1_2__  -7_-6_-7__0_
    -5_  1_-7_1__3__  3_2_2__0_
    1_  2_1_2__5__  4_3_2__0_
    22  11-7_1__2__  -5_-7_1__0_ //";Mitteleuropa, Deutschland / Polen, Schlesien, Strehlen;3/4;"6, S. 240
    1842 gedruckt in Leipzig";;Q0138;16
Q0138A;gar schoen war sie gezieret,;BALLADEN;;G-maj;"Maedchen und Hasel
    Es wollt' ein Maedchen spazieren gehn,";Ballade, verlorene Unschuld, Moral;"-5_  -5_-5_1__1_1_  -5_-712__.
    32  1_1_1__.23  4_3_2__0_
    3_  1_1_4__.3_  2_1_2__.
    3_  1_1_3_2_1_1_  1_-7_1__0_ //";Mitteleuropa, Deutschland (DDR) , Brandenburg, Uckermark, Gramzow;3/4;"6, S. 243
    1844 aufgezeichnet";;Q0138;16
Q0138B;an einem Sindag morjens,;BALLADEN;;G-maj;"Maedchen und Hasel
    Et wull en Maeke Schwin utjoge";Ballade, verlorene Unschuld, Moral;"-5_  -5_1_1__.-6_  1_-7_-5_-5_0_
    -5_  -5_-7_2__-6__  -6__-5__0_
    -5_  -5_4_4__.2_  4_3_1__0_
    3_  3_22-6__.2_  2__1__0_
    -5_  -5_4_4__.2_  4_3_1__0_
    3_  3_22-6__.2_  2__1__0_ //";"Mitteleuropa, Deutschland / UdSSR, Ostpreussen, Kr. Friedland,
    Markienen";3/4;"6, S. 244
    1912 aufgezeichnet";;Q0138;16
Q0138C;"um die gruenen Nuesse;";BALLADEN;;E-min;"Maedchen und Hasel
    Es geht ein' Frau in gruenen Wald";Ballade, verlorene Unschuld, Moral;"1_1_3b_  5__.4#_5_6b_  4__0__
    7b_6_7b_+1_  7b__5__
    5_.5  7b__.5_7b_.7b  3b__.
    4_5_5_  3b__.5_4_3b_  1__0_ //";"Osteuropa, Tschechoslowakei, Deutsch - Proben, Sprachinsel
    Kremnitz, Glaserhaeu";3/4 4/4;"6, S. 245
    1930 aufgezeichnet";;Q0138;16
Q0138D;"schneeweiss war sie gekleidet;";BALLADEN;;G-maj;"Maedchen und Hasel
    Es wollt ein Maedchen zum Balle gehn,";Ballade, verlorene Unschuld, Moral;"1_  1_3_3__2_1_  -7_2_2__.
    2_  2_5_5__.3_  3_2_2__.
    23  4_6_6_.56__  5_4_34565_.
    3  2_3_4__5__  4__3__0_ //";Mitteleuropa, Deutschland (BRD) , Rheinland, Kr. Koeln, Sinthern;3/4;"6, S. 246
    1928 aufgezeichnet";;Q0138;16
Q0138E;was will ich dich jetzt fragen:;BALLADEN;;G-maj;"Maedchen und Hasel
    'Guten Morgen, du Nuesselein,";Ballade, verlorene Unschuld, Moral;"-5-5  1_1_-7-6  -7-7-7_
    -5_  -7_.-7-6-5  -6_-5_ //";Osteuropa, Ungarn, Kom. Tolnau, Nemetker;3/4;"6, S. 247
    1935 aufgezeichnet";;Q0138;8
Q0138F;aus unsers hertzen grunde;BALLADEN;;G-maj;"Maedchen und Hasel
    Ach, lieber Gott im hoechsten thron,";"Ballade, verlorene Unschuld, Moral; geistlich";"2_2_2_5_5_7b_+1_7b_
    5_4__+1__+1__5__7b_+1_6__5__0_
    4_5_7b_6_5_5_3_2_
    1_3__1__3_.46__5_3_2__1___ //";Mitteleuropa, Deutschland;FREE;"6, S. 261
    1587 gedruckt";;Q0138;8
Q0138G;sieben Straeuss' hat es am Becher stehn,;BALLADEN;;G-min;"Maedchen und Hasel
    Es wollt' ein Maedchen auf Kirwe gehn,";Ballade, verlorene Unschuld, Moral;"5_  5_4_3b3b5_  4_5_1_
    3b3b  3b_2_-5_-5_  3b_4_5_
    5_  5_4_5_3b_  2__1_ //";Mitteleuropa, Deutschland / Frankreich, Lothringen;2/4;"6, S. 264
    ????";;Q0138;16
Q0139;bei einem Glase Biere, Biere,;BALLADEN;;F-maj;"Der schwatzhafte Junggeselle
    Es sassen der Bursche viere, viere";"Ballade, Indiskretion, verweigerter Beischlaf; Studenten - Lied";"-5__  1__-7_-6_-5__4__  4__3__6__5_
    -5_  1__-7_-6_-5__4__  4__3__6__5_
    5_  3_.55_5_5__5_5_  6_5_4_3_2__.
    5_  -5_-5_-5_-5_5__5_5_  5_4_3_2_1__ //";Osteuropa, UdSSR, Baltikum;4/4;"6, S. 270
    1937 gedruckt";;Q0139;16
Q0139A;die taten sich bereden,;BALLADEN;;G-maj;"Der schwatzhafte Junggeselle
    Es waren drei Gesellen,";"Ballade, Indiskretion, verweigerter Beischlaf; Spinnstuben - Lied (?)";"-5_  1_-7-6-5_1_  -3_-511_
    -5_  1_-7-6-5_1_  -3_-511_0
    -5  -53333_05  54642_0
    -7  -72222_03  32321_ //";"Mitteleuropa, Deutschland (DDR) , Pommern, Kr. Ueckermuende,
    Sandfoerde";4/4;"6, S. 270
    1930 aufgezeichnet";;Q0139;8
Q0139B;auf einem schmalen Stellchen.;BALLADEN;;G-maj;"Der schwatzhafte Junggeselle
    Es sassen drei Junggesellchen";Ballade, Indiskretion, verweigerter Beischlaf;"-5_  1_-7-6  -5_11  2_1_  0_
    -5_  1_-7-6  -5_1_  2_1_  0_.
    1  1333  3_3
    3  2343  2_0_
    -7222  2_3
    2  1232  1_ //";Mitteleuropa, Deutschland / Polen, Schlesien, Niederschlesien, Wohlau;2/4;"6, S. 271
    1840 aufgezeichnet";;Q0139;8
Q0139C;die taeten, was sie wollten.;BALLADEN;;Bb-maj;"Der schwatzhafte Junggeselle
    Es waren einmal drei Gesellen,";Ballade, Indiskretion, verweigerter Beischlaf;"-5_  1_-7_-6_  2_3_2_  1_-5_0_  0__
    -5_  1__-6_  2__3_  1_-5_0_  0__
    -5_  3_3_3_4_  3__0_1_  2_3_4_3_  2__0_
    1_  -7_2_2_33  2__1_2_  3_4_3_2_  1__0_ //";"Mitteleuropa, Deutschland / Frankreich, Lothringen, Kr. Forbach,
    Altripp";3/4 4/4;"6, S. 273
    1929 gedruckt";;Q0139;8
Q0139D;die taeten sich was verzellen, -zellen,;BALLADEN;;A-min;"Der schwatzhafte Junggeselle
    Es waren mal drei G'sellen, G'sellen,";"Ballade, Indiskretion, verweigerter Beischlaf; Studenten - Lied";"5_  3_.33_.3  3_1_0__  3_1_0_
    5_  (3_3_3_)3_3_  3_1_0__  3_1_0_
    5_  3_.33_.3  3__0_5_  6_5_4_3_  2__.
    1_  -7_2_4_5_  7__.6_  5_5_4_4_  3__0_
    5_  3_.33_.3  3__0_5_  6_5_4_3_  2__.
    1_  -7_2_4_5_  7__.6_  5_5_4_4_  3__0_ //";Mitteleuropa, Schweiz, Graubuenden, Bez. Heinzenberg, Portein;2/4;"6, S. 274
    1938 aufgezeichnet";;Q0139;16
Q0139E;die taeten sich bestellen;BALLADEN;;F-maj;"Der schwatzhafte Junggeselle
    Es waren drei Gesellen,";Ballade, Indiskretion, verweigerter Beischlaf;"-5_  1__-7_-6_  -5__3__  2_-7_1__  ^__.
    -5_  1__-7_-6_  -5__3__  2_-7_1__  ^__
    1__  1_.23_3_  3__2_33  4_4_5_3_  2__.
    2_  2_.22_.2  2_5_5_4_  3_3_2_2_  1__
    -5__  -6_-6_-7_-7_  1__. //";Mitteleuropa, Deutschland (BRD) , Hessen, Vogelsberg, Storndorf;2/4;"6, S. 274
    1909 aufgezeichnet (1907 - 09)";;Q0139;16
Q0139F;"beim Wein und auch beim Biere;";BALLADEN;;G-maj;"Der schwatzhafte Junggeselle
    Es sassen unser viere";Ballade, Indiskretion, verweigerter Beischlaf;"-5__  1__-7_-6_-5__1__  2__1__0__
    -5__  1__-7_-6_-5__1__  2__1__0__
    3__  3_.33_.33_.20_3_  3_.35_.32__0_
    1_  -7_.22_2_2_.54__  3_.32_.21__ //";"Mitteleuropa, Deutschland (BRD) , Hessen, Oberwesterwald,
    Stein - Neukirch";4/4;"6, S. 275
    1906 aufgezeichnet (1905/06)";;Q0139;16
Q0139G;sie redten, was sie wellen.;BALLADEN;;F-maj;"Der schwatzhafte Junggeselle
    Es waren drei Gesellen,";Ballade, Indiskretion, verweigerter Beischlaf;"-5  1_-7-6-5_3_  2_1_0_.
    -5  1_-7-6-5_3_  2_1_0_.
    1  33333_23  4_332_0
    2  22222_12  33223_. //";Osteuropa, UdSSR, Nord - Ukraine, Sprachinsel Belowjetsch;4/4;"6, S. 276
    1930 gedruckt";;Q0139;8
Q0139H;die taeten was sie wellen.;BALLADEN;;F-maj;"Der schwatzhafte Junggeselle
    Es waren drei Gesellen,";Ballade, Indiskretion, verweigerter Beischlaf;"-5_  1__-7_-6_-5__4__  3__5__1_0__
    -5_  1__-7_-6_-5__4__  3__5__1_0_
    1_2_  3_.3333_3__2_3_  4_4_3_3_2__.
    3_  2__2_2_2__1_2_  3_4_3_2_1__0_ //";Osteuropa, UdSSR, Wolga - Gebiet, Neu - Galga;4/4;"6, S. 278
    ????";;Q0139;16
Q0139I;die taeten sich was erzaehlen, -zaehlen.;BALLADEN;;G-maj;"Der schwatzhafte Junggeselle
    Es waren mal drei Gesellen, -sellen,";Ballade, Indiskretion, verweigerter Beischlaf;"-5_  1_-7-6  -5_3_  2_1_  5_3_  0_
    -5_  1_-7-6  -5_3_  2_1_  5_3_  0_
    5_  3333  3_.5  6543  2_.
    2  2222  5_.4  3322  1_
    5_  3333  3_.5  6543  2_.
    2  2222  5_.4  3322  1_ //";"Mitteleuropa, Oesterreich / Italien, Sued - Tirol, Bez. Sterzing,
    Ratschings";2/4;"6, S. 279
    1941 aufgezeichnet";;Q0139;8
Q0139J;sie taetein, wos sie wollein.;BALLADEN;;G-maj;"Der schwatzhafte Junggeselle
    's waren einmol drei G'soellein,";Ballade, Indiskretion, verweigerter Beischlaf;"-5_  (1__-7__-6__)  -5__3__  4__.5_  3__0_
    -5_  (1__-7__-6__)  -5__1__  4__.5_  3__0_
    3_  3_.45_5_  5__.3_  4_5_6_5_  4__0_
    2_  4_.44_4_  4__3_2_  3_.45_4_  3__0_ //";Osteuropa, Ungarn, Solymar;2/4;"6, S. 280
    1959 aufgezeichnet";;Q0139;16
Q0139M;da redt ich nach gedunken,;BALLADEN;;G-maj;"Der schwatzhafte Junggeselle
    Nechten war ich trunken,";Ballade, Indiskretion, verweigerter Beischlaf;"1__3__5__.4_  3__2__1__0_
    -5_  1__3__5__.4_  3__2__1__0_
    3_  3_3_3_2_3__2_1_  3_5_4_3_2__0_
    2_  1_2_3_4#_5_.55_4_  3_3_2_2_1___ //";Mitteleuropa, Deutschland;4/4;"6, S. 312
    1611 gedruckt in Coburg";;Q0139;16
Q0139N;Sie assen und tranken kuehlen Wein.;BALLADEN;;G-maj;"Der schwatzhafte Junggeselle
    Es sassen drei Gesellen.";Ballade, Indiskretion, verweigerter Beischlaf;"-5_  1__3__  5__.4_  3__2__  1__0_
    -5_  1__3_3_  5__.4_  3__2__  1__0_
    1_  3_3_3_3_  3__2_1_  3_5_4_3_  2__0_
    -5_  1_2_3_4_  5_.65_4_  3_3_2_2_  1__0_ //";Mitteleuropa, Deutschland;4/4;"6, S. 312
    1894 gedruckt in Leipzig";;Q0139;8
Q0139S;"sie konnten, was sie wollten;";BALLADEN;;G-maj;"Der schwatzhafte Junggeselle
    Es waren mal drei Gesellen,";Ballade, Indiskretion, verweigerter Beischlaf;"-5_  1_-7_-6_  2_3_2_  1_-5_
    -5_  1_-7_1_  2_3_2_  1_-5_
    3_  1_.33_3_3__.1_  1_3_5_3_2__.
    1_  -7_.22_222_5_5_4_  3_3_2_2_1__0_ //";Mitteleuropa, Deutschland / Frankreich, Lothringen, Fremersdorf;3/8 4/4;"6, S. 312
    1932 gedruckt in Metz";;Q0139;16
Q0142;und so sprach er,;BALLADEN;;G-maj;"Vater und Tochter
    Es wollt ein Jaeger jagen,";Ballade, Verfuehrung, Verwechslung;"-5_  1_1_1_3_  2_-7_-5_
    -5_  1__-6__  -5__.
    -5_  1_1_3_4_  5_3_1_
    -5_  1_1_2_2_  5_.31_
    -5_  1_1_322_  1__0_ //";Mitteleuropa, Deutschland (DDR) , Brandenburg;2/4;"7, S. 10
    1854 aufgezeichnet";;Q0142;16
Q0142A;so soktea,;BALLADEN;;G-maj;"Vater und Tochter
    'Kuin Morgen Junkfrau schoeoene',";Ballade, Verfuehrung, Verwechslung;"-5_  1_1_-7_-6_  2__-5__
    1__-3_-4_  -5__.
    -5_  1_2_3_3_  3_2_2_
    2_  2_.1-7_-6_  1_-5_-5_
    -5_  -3_-5_1_2_  3__.
    3_  4_2_-7_-7_  1__0_ //";Osteuropa, Ungarn, Komitat Wessprim, Veszpremfajsz;2/4;"7, S. 12
    1931 aufgezeichnet";;Q0142;16
Q0142B;in dem Wald allein?;BALLADEN;;G-maj;"Vater und Tochter
    Schoenes Maedchen, was machst du hier,";Ballade, Verfuehrung, Verwechslung;"1_1_-5_-5-5  -6_-6_-5__
    -5_-5_-6_-7_  1__0__
    1_1_-5_-5-5  -6_-6_-5__
    -5_-5_-6_-7_  1__0__
    -7_2_2_2_  2_3_2__
    3_1_1_-6_  -5_-6_-5__
    -5_-5_-6_-7_  1_3_5__
    3_-5_3_2_  1__0__
    -7_2_2_2_  2_3_2__
    3_1_1_-6_  -5_-6_-5__
    -5_-5_-6_-7_  1_3_5__
    3_-5_3_2_  1__0__ //";Osteuropa, Tschechoslowakei, Unterzips;2/4;"7, S. 20
    1844 aufgezeichnet";;Q0142;16
Q0142C;so sagt sie!;BALLADEN;;G-maj;"Vater und Tochter
    Es wollt ein Maedchen frueh aufstehn,";Ballade, Verfuehrung, Verwechslung;"-5  1111  13-5_
    -3_-5_  1_0
    1  2122  243
    1  21-7-6  -6-5-3
    -5  -5-5-51  3_.
    1  22-5-7  1_0 //";Osteuropa, Polen, Galizien;2/4;"7, S. 20
    1940 aufgezeichnet";;Q0142;8
Q0142D;so saget er.;BALLADEN;;G-maj;"Vater und Tochter
    Es wollt ein Jaeger jagen,";Ballade, Verfuehrung, Verwechslung;"-5_  1_1_1_2_  3_1_-5__
    -6__-4_-6_  -5__0_
    -5_  2_2_2_3_  4_2_2__
    3_.11_-6_  -6_-5_-5_
    -5_  -3_-5_-3_-5_  1__3__
    4__2__  -7__-6_-7_  1__. //";Suedosteuropa, Jugoslawien, Batschka, Backo - Dobropolje;2/4;"7, S. 21
    1938 aufgezeichnet";;Q0142;16
Q0144;es reit' ein Reiter wohlgemut,;BALLADEN;;G-maj;"Die Unbestechliche
    Es reit' ein Reiter wohlgemut,";Ballade, Liebes - Handel;"-5__  1__3__  2__.5_  4_3_2_
    1_  1_3_2_1_  -7_-6_-5_
    -5-5  1_3_2_1_  4__4_2_  1__ //";Osteuropa, Tschechoslowakei, Maehren, Dt. Proben, Kremnitz;2/4;"7, S. 29
    1943 gedruckt in Kassel";;Q0144;16
Q0144A;er hat ein straussfeder auf seinen hut,;BALLADEN;;G-maj;"Die Unbestechliche
    Es reyt ein ritter wolgemut,";Ballade, Liebes - Handel;"1__  1_2_3b_1_  4__3b__  2__
    2__  112_-7b_3b_  2_1_-7b_-6_  -5__
    1__  -7b_-7b_1__  -7b12_3b_4_  ^_543b21_  2__
    -7b__  3b_4_2__  1__ //";Mitteleuropa, Deutschland;4/4;"7, S. 33
    1535 gedruckt";;Q0144;8
Q0144C;es reit' ein Reit'r auch wohlgemut,;BALLADEN;;G-maj;"Die Unbestechliche
    Es reit' ein Reit'r auch wohlgemut,";Ballade, Liebes - Handel;"-5__  1__1__2__.55  4_3_2_
    1_  1_3_2_11  -7_-6_-5_
    -5_  1__1__2__.11  3__(4_-7__)1__ //";Osteuropa, Tschechoslowakei, Slowakei;4/4 2/4;"7, S. 36
    1969 gedruckt in Freiburg";;Q0144;16
Q0145;aus einem kuehlen Brunnen,;BALLADEN;;Bb-maj;"Winterrosen
    Es wollt ein Maedchen Wasser hol'n";Ballade, Verfuehrung, verlorene Ehre;"-5  1-5-3-5  111
    1  21-7-6  -6-5-50
    -3-4-50  -5-51
    1  234-5  -511 //";Mitteleuropa, Deutschland (DDR) , Brandenburg a.d. Havel;4/4;"7, S. 45
    1847 aufgezeichnet";;Q0145;4
Q0145A;aus einem tiefen Brunnen,;BALLADEN;;Bb-maj;"Winterrosen
    Ein Maedchen wollte Wasser hol'n";Ballade, Verfuehrung, verlorene Ehre;"5  6555  655
    5  6543  3_2_
    1335  5__  355+1  +3__  0
    +3+16  5_.7  +2__  +1_. //";Mitteleuropa, Deutschland / Polen, Pommern, Stettin, Sandfoerde;2/4;"7, S. 46
    1930 aufgezeichnet (vor)";;Q0145;8
Q0145D;an einem tiefen Brunnen.;BALLADEN;;C-maj;"Winterrosen
    Ein Maedchen wollte Wasser schoepfen";Ballade, Verfuehrung, verlorene Ehre;"5_  6_5_5_5_  6_5_5_5
    5  6_5_4_3_  3__2__
    1__3__  5___  5__7__  +2__.
    +1_  7__.6_  5__.4_  4__3_ //";Mitteleuropa, Deutschland (BRD) , Rheinland, Bessenich;2/4;"7, S. 60
    1926 aufgezeichnet";;Q0145;16
Q0145E;kam bei einem Brunnen.;BALLADEN;;F-maj;"Winterrosen
    Es wollt ein Maedchen Wasser holen,";Ballade, Verfuehrung, verlorene Ehre;"-5  1133  1133
    224-7  2_1_
    5_  662_4_  551_
    3_  224_-7_  2_1 //";Mitteleuropa, Deutschland (BRD) , Hessen, Kurhessen, Lenderode;2/4 3/4;"7, S. 61
    1931 aufgezeichnet";;Q0145;8
