onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chord;chorus_id
86.25;0.25;4;4;44;1;3;0.5;4/4;70;19;0;Cmaj7;2
86.5;0.25;4;4;44;2;1;0.5;4/4;69;19;0;Cmaj7;2
86.75;0.25;4;4;44;2;3;0.5;4/4;68;19;0;Cmaj7;2
87;0.25;4;4;44;3;1;0.5;4/4;67;19;0;Cmaj7;2
87.25;0.25;4;4;44;3;3;0.5;4/4;64;19;0;Cmaj7;2
87.5;0.125;4;4;44;4;1;0.5;4/4;60;19;0;Cmaj7;2
87.625;0.125;4;4;44;4;2;0.5;4/4;62;19;0;Cmaj7;2
87.75;0.25;4;4;44;4;3;0.5;4/4;64;19;0;Cmin7;2
88;0.25;4;4;45;1;1;0.5;4/4;62;19;0;Cmin7;2
88.25;0.25;4;4;45;1;3;0.5;4/4;60;19;0;Cmin7;2
88.5;0.25;4;4;45;2;1;0.5;4/4;59;19;0;Cmin7;2
88.75;0.125;4;4;45;2;3;0.5;4/4;64;19;0;Cmin7;2
88.875;0.125;4;4;45;2;4;0.5;4/4;61;19;0;Cmin7;2
89;0.125;4;4;45;3;1;0.5;4/4;63;19;0;Cmin7;2
89.125;0.125;4;4;45;3;2;0.5;4/4;64;19;0;Cmin7;2
89.25;0.125;4;4;45;3;3;0.5;4/4;63;19;0;Cmin7;2
89.75;0.25;4;4;45;4;3;0.5;4/4;63;20;1;Cmin7;2
90;0.375;4;4;46;1;1;0.5;4/4;65;20;0;Cmin7;2
90.375;0.125;4;4;46;1;4;0.5;4/4;68;20;0;Fmin7;2
90.5;0.125;4;4;46;2;1;0.5;4/4;65;20;0;Fmin7;2
90.625;0.125;4;4;46;2;2;0.5;4/4;60;20;0;Fmin7;2
90.75;0.125;4;4;46;2;3;0.5;4/4;55;20;0;Fmin7;2
92.375;0.125;4;4;47;1;4;0.5;4/4;68;21;1;Bb7;2
92.5;0.25;4;4;47;2;1;0.5;4/4;69;21;0;Bb7;2
92.75;0.25;4;4;47;2;3;0.5;4/4;72;21;0;Bb7;2
93;0.5;4;4;47;3;1;0.5;4/4;68;21;0;Bb7;2
93.5;0.25;4;4;47;4;1;0.5;4/4;75;21;0;Ebmaj7;2
93.75;0.25;4;4;47;4;3;0.5;4/4;74;21;0;Ebmaj7;2
94;0.25;4;4;48;1;1;0.5;4/4;70;21;0;Ebmaj7;2
94.25;0.25;4;4;48;1;3;0.5;4/4;68;21;0;Ebmaj7;2
94.5;0.375;4;4;48;2;1;0.5;4/4;70;21;0;Ebmaj7;2
94.875;0.375;4;4;48;2;4;0.5;4/4;72;21;0;Ebmaj7;2
95.25;0.25;4;4;48;3;3;0.5;4/4;74;21;0;Ebmaj7;2
95.5;0.25;4;4;48;4;1;0.5;4/4;75;21;0;Abmaj7;2
95.75;0.25;4;4;48;4;3;0.5;4/4;74;21;0;Abmaj7;2
96;0.25;4;4;49;1;1;0.5;4/4;73;21;0;Abmaj7;2
96.25;0.25;4;4;49;1;3;0.5;4/4;84;21;0;Abmaj7;2
96.5;0.25;4;4;49;2;1;0.5;4/4;84;21;0;Abmaj7;2
96.75;0.25;4;4;49;2;3;0.5;4/4;80;21;0;Abmaj7;2
97;0.25;4;4;49;3;1;0.5;4/4;84;21;0;Amin7;2
97.25;0.25;4;4;49;3;3;0.5;4/4;80;21;0;Amin7;2
97.5;0.25;4;4;49;4;1;0.5;4/4;81;21;0;Amin7;2
97.75;0.25;4;4;49;4;3;0.5;4/4;84;21;0;Amin7;2
98.625;0.125;4;4;50;2;2;0.5;4/4;66;22;1;Amin7;2
98.75;0.125;4;4;50;2;3;0.5;4/4;67;22;0;Amin7;2
98.875;0.25;4;4;50;2;4;0.5;4/4;67;22;0;D7;2
99.125;0.25;4;4;50;3;2;0.5;4/4;66;22;0;D7;2
99.375;0.25;4;4;50;3;4;0.5;4/4;65;22;0;D7;2
99.625;0.25;4;4;50;4;2;0.5;4/4;64;22;0;Gmaj7;2
99.875;0.25;4;4;50;4;4;0.5;4/4;61;22;0;Gmaj7;2
100.125;0.25;4;4;51;1;2;0.5;4/4;62;22;0;Gmaj7;2
100.375;0.25;4;4;51;1;4;0.5;4/4;60;22;0;Gmaj7;2
100.625;0.125;4;4;51;2;2;0.5;4/4;59;22;0;Gmaj7;2
100.75;0.125;4;4;51;2;3;0.5;4/4;57;22;0;Gmaj7;2
100.875;0.25;4;4;51;2;4;0.5;4/4;58;22;0;Gmaj7;2
101.125;0.25;4;4;51;3;2;0.5;4/4;59;22;0;Gmaj7;2
101.375;0.25;4;4;51;3;4;0.5;4/4;60;22;0;Gmaj7;2
101.625;0.25;4;4;51;4;2;0.5;4/4;61;22;0;Gmaj7;2
101.875;0.25;4;4;51;4;4;0.5;4/4;62;22;0;Gmaj7;2
102.125;0.25;4;4;52;1;2;0.5;4/4;64;22;0;Gmaj7;2
102.375;0.125;4;4;52;1;4;0.5;4/4;66;22;0;Gmaj7;2
102.5;0.125;4;4;52;2;1;0.5;4/4;68;22;0;Gmaj7;2
102.625;0.25;4;4;52;2;2;0.5;4/4;66;22;0;Gmaj7;2
102.875;0.25;4;4;52;2;4;0.5;4/4;69;22;0;Gmaj7;2
103.125;0.25;4;4;52;3;2;0.5;4/4;73;22;0;Gmaj7;2
103.375;0.25;4;4;52;3;4;0.5;4/4;76;22;0;Amin7;2
103.625;0.25;4;4;52;4;2;0.5;4/4;74;22;0;Amin7;2
103.875;0.25;4;4;52;4;4;0.5;4/4;72;22;0;Amin7;2
104.125;0.25;4;4;53;1;2;0.5;4/4;71;22;0;Amin7;2
104.375;0.25;4;4;53;1;4;0.5;4/4;69;22;0;Amin7;2
104.625;0.25;4;4;53;2;2;0.5;4/4;67;22;0;Amin7;2
104.875;0.25;4;4;53;2;4;0.5;4/4;66;22;0;Amin7;2
105.125;0.25;4;4;53;3;2;0.5;4/4;64;22;0;Amin7;2
105.375;0.25;4;4;53;3;4;0.5;4/4;62;22;0;Amin7;2
105.625;0.25;4;4;53;4;2;0.5;4/4;60;22;0;Amin7;2
106.375;0.125;4;4;54;1;4;0.5;4/4;61;23;1;D7;2
106.5;0.25;4;4;54;2;1;0.5;4/4;60;23;0;D7;2
106.75;0.375;4;4;54;2;3;0.5;4/4;57;23;0;D7;2
107.125;0.125;4;4;54;3;2;0.5;4/4;54;23;0;Gmaj7;2
107.25;0.125;4;4;54;3;3;0.5;4/4;55;23;0;Gmaj7;2
107.375;0.125;4;4;54;3;4;0.5;4/4;56;23;0;Gmaj7;2
107.5;0.25;4;4;54;4;1;0.5;4/4;57;23;0;Gmaj7;2
107.75;0.375;4;4;54;4;3;0.5;4/4;58;23;0;Gmaj7;2
108.125;0.125;4;4;55;1;2;0.5;4/4;59;23;0;Gmaj7;2
108.25;0.125;4;4;55;1;3;0.5;4/4;57;23;0;Gmaj7;2
108.375;0.375;4;4;55;1;4;0.5;4/4;55;23;0;Gmaj7;2
108.75;0.25;4;4;55;2;3;0.5;4/4;54;23;0;Gmaj7;2
109;0.25;4;4;55;3;1;0.5;4/4;55;23;0;Gmaj7;2
110;0.125;4;4;56;1;1;0.5;4/4;55;24;1;Gmaj7;2
110.125;0.125;4;4;56;1;2;0.5;4/4;57;24;0;Gmaj7;2
110.25;0.125;4;4;56;1;3;0.5;4/4;59;24;0;Gmaj7;2
110.375;0.125;4;4;56;1;4;0.5;4/4;60;24;0;Gmaj7;2
110.5;0.25;4;4;56;2;1;0.5;4/4;62;24;0;Gmaj7;2
110.75;0.25;4;4;56;2;3;0.5;4/4;64;24;0;Gmaj7;2
111;0.25;4;4;56;3;1;0.5;4/4;66;24;0;Gmaj7;2
111.25;0.25;4;4;56;3;3;0.5;4/4;67;24;0;Gmaj7;2
111.5;0.25;4;4;56;4;1;0.5;4/4;66;24;0;Gmaj7;2
111.75;0.25;4;4;56;4;3;0.5;4/4;62;24;0;F#m7b5;2
112;0.25;4;4;57;1;1;0.5;4/4;63;24;0;F#m7b5;2
112.25;0.25;4;4;57;1;3;0.5;4/4;64;24;0;F#m7b5;2
112.5;0.25;4;4;57;2;1;0.5;4/4;62;24;0;F#m7b5;2
112.75;0.25;4;4;57;2;3;0.5;4/4;63;24;0;F#m7b5;2
113;0.25;4;4;57;3;1;0.5;4/4;61;24;0;F#m7b5;2
113.25;0.25;4;4;57;3;3;0.5;4/4;62;24;0;F#m7b5;2
113.5;0.25;4;4;57;4;1;0.5;4/4;65;24;0;F#m7b5;2
113.75;0.125;4;4;57;4;3;0.5;4/4;64;24;0;B79b;2
113.875;0.125;4;4;57;4;4;0.5;4/4;67;24;0;B79b;2
114;0.125;4;4;58;1;1;0.5;4/4;71;24;0;B79b;2
114.125;0.125;4;4;58;1;2;0.5;4/4;74;24;0;B79b;2
114.25;0.125;4;4;58;1;3;0.5;4/4;72;24;0;B79b;2
114.375;0.125;4;4;58;1;4;0.5;4/4;73;24;0;B79b;2
116;0.25;4;4;59;1;1;0.5;4/4;63;25;1;Emaj7;2
116.25;0.25;4;4;59;1;3;0.5;4/4;66;25;0;Emaj7;2
116.5;0.25;4;4;59;2;1;0.5;4/4;75;25;0;Emaj7;2
116.75;0.375;4;4;59;2;3;0.5;4/4;83;25;0;Emaj7;2
117.125;0.125;4;4;59;3;2;0.5;4/4;78;25;0;Emaj7;2
117.25;0.25;4;4;59;3;3;0.5;4/4;80;25;0;C713b;2
117.5;0.375;4;4;59;4;1;0.5;4/4;78;25;0;C713b;2
117.875;0.375;4;4;59;4;4;0.5;4/4;76;25;0;C713b;2
118.25;0.25;4;4;60;1;3;0.5;4/4;70;25;0;C713b;2
118.5;0.375;4;4;60;2;1;0.5;4/4;71;25;0;C713b;2
118.875;0.375;4;4;60;2;4;0.5;4/4;79;25;0;C713b;2
119.25;0.25;4;4;60;3;3;0.5;4/4;69;25;0;C713b;2
119.5;0.375;4;4;60;4;1;0.5;4/4;70;25;0;C713b;2
119.875;0.125;4;4;60;4;4;0.5;4/4;74;25;0;Fmin7;2
120;0.25;4;4;61;1;1;0.5;4/4;75;25;0;Fmin7;2
120.25;0.25;4;4;61;1;3;0.5;4/4;72;25;0;Fmin7;2
120.5;0.25;4;4;61;2;1;0.5;4/4;67;25;0;Fmin7;2
120.75;0.25;4;4;61;2;3;0.5;4/4;65;25;0;Fmin7;2
121;0.25;4;4;61;3;1;0.5;4/4;70;25;0;Fmin7;2
121.25;0.25;4;4;61;3;3;0.5;4/4;65;25;0;Fmin7;2
121.5;0.25;4;4;61;4;1;0.5;4/4;63;25;0;Bbmin7;2
121.75;0.25;4;4;61;4;3;0.5;4/4;62;25;0;Bbmin7;2
123.125;0.125;4;4;62;3;2;0.5;4/4;65;26;1;Bbmin7;2
123.25;0.125;4;4;62;3;3;0.5;4/4;64;26;0;Bbmin7;2
123.375;0.25;4;4;62;3;4;0.5;4/4;63;26;0;Bbmin7;2
123.625;0.25;4;4;62;4;2;0.5;4/4;65;26;0;Bbmin7;2
123.875;0.25;4;4;62;4;4;0.5;4/4;63;26;0;Eb7;2
124.125;0.25;4;4;63;1;2;0.5;4/4;64;26;0;Eb7;2
124.375;0.25;4;4;63;1;4;0.5;4/4;65;26;0;Eb7;2
124.625;0.25;4;4;63;2;2;0.5;4/4;63;26;0;Eb7;2
124.875;0.125;4;4;63;2;4;0.5;4/4;60;26;0;Eb7;2
125;0.125;4;4;63;3;1;0.5;4/4;61;26;0;Eb7;2
125.125;0.125;4;4;63;3;2;0.5;4/4;58;26;0;Eb7;2
125.25;0.125;4;4;63;3;3;0.5;4/4;55;26;0;Eb7;2
125.375;0.125;4;4;63;3;4;0.5;4/4;54;26;0;Eb7;2
125.5;0.125;4;4;63;4;1;0.5;4/4;55;26;0;Eb7;2
125.625;0.125;4;4;63;4;2;0.5;4/4;56;26;0;Eb7;2
125.75;0.25;4;4;63;4;3;0.5;4/4;57;26;0;Abmaj7;2
126;0.25;4;4;64;1;1;0.5;4/4;58;26;0;Abmaj7;2
126.25;0.25;4;4;64;1;3;0.5;4/4;60;26;0;Abmaj7;2
126.5;0.25;4;4;64;2;1;0.5;4/4;63;26;0;Abmaj7;2
126.75;0.125;4;4;64;2;3;0.5;4/4;65;26;0;Abmaj7;2
126.875;0.125;4;4;64;2;4;0.5;4/4;62;26;0;Abmaj7;2
127;0.25;4;4;64;3;1;0.5;4/4;64;26;0;Abmaj7;2
127.25;0.25;4;4;64;3;3;0.5;4/4;63;26;0;Abmaj7;2
127.5;0.25;4;4;64;4;1;0.5;4/4;61;26;0;Abmaj7;2
128.875;0.125;4;4;65;2;4;0.5;4/4;65;27;1;Dbmaj7;2
129;0.25;4;4;65;3;1;0.5;4/4;66;27;0;Dbmaj7;2
129.25;0.25;4;4;65;3;3;0.5;4/4;62;27;0;Dbminmaj7;2
129.5;0.375;4;4;65;4;1;0.5;4/4;61;27;0;Dbminmaj7;2
129.875;0.375;4;4;65;4;4;0.5;4/4;60;27;0;Dbminmaj7;2
130.25;0.25;4;4;66;1;3;0.5;4/4;58;27;0;Dbminmaj7;2
130.5;0.25;4;4;66;2;1;0.5;4/4;56;27;0;Dbminmaj7;2
130.75;0.25;4;4;66;2;3;0.5;4/4;54;27;0;Dbminmaj7;2
131;0.375;4;4;66;3;1;0.5;4/4;56;27;0;Dbminmaj7;2
131.375;0.125;4;4;66;3;4;0.5;4/4;64;27;0;Dbminmaj7;2
131.5;0.125;4;4;66;4;1;0.5;4/4;61;27;0;Dbminmaj7;2
133.25;0.25;4;4;67;3;3;0.5;4/4;70;28;1;Cmin7;2
133.5;0.25;4;4;67;4;1;0.5;4/4;70;28;0;Bo7;2
133.75;0.25;4;4;67;4;3;0.5;4/4;69;28;0;Bo7;2
134;0.25;4;4;68;1;1;0.5;4/4;68;28;0;Bo7;2
134.25;0.25;4;4;68;1;3;0.5;4/4;71;28;0;Bo7;2
134.5;0.25;4;4;68;2;1;0.5;4/4;74;28;0;Bo7;2
134.75;0.25;4;4;68;2;3;0.5;4/4;73;28;0;Bo7;2
135;0.25;4;4;68;3;1;0.5;4/4;72;28;0;Bbmin7;2
135.25;0.375;4;4;68;3;3;0.5;4/4;71;28;0;Bbmin7;2
135.625;0.375;4;4;68;4;2;0.5;4/4;73;28;0;Bbmin7;2
136;0.25;4;4;69;1;1;0.5;4/4;74;28;0;Bbmin7;2
136.25;0.25;4;4;69;1;3;0.5;4/4;73;28;0;Bbmin7;2
136.5;0.25;4;4;69;2;1;0.5;4/4;72;28;0;Bbmin7;2
136.75;0.25;4;4;69;2;3;0.5;4/4;70;28;0;Bbmin7;2
137;0.25;4;4;69;3;1;0.5;4/4;68;28;0;Bbmin7;2
137.25;0.25;4;4;69;3;3;0.5;4/4;67;28;0;Bbmin7;2
139.25;0.25;4;4;70;3;3;0.5;4/4;74;29;1;Eb7;2
139.5;0.25;4;4;70;4;1;0.5;4/4;74;29;0;Eb7;2
139.75;0.25;4;4;70;4;3;0.5;4/4;80;29;0;Eb7;2
140;0.125;4;4;71;1;1;0.5;4/4;82;29;0;Abmaj7;2
140.125;0.125;4;4;71;1;2;0.5;4/4;80;29;0;Abmaj7;2
140.25;0.125;4;4;71;1;3;0.5;4/4;79;29;0;Abmaj7;2
140.375;0.125;4;4;71;1;4;0.5;4/4;78;29;0;Abmaj7;2
140.5;0.125;4;4;71;2;1;0.5;4/4;77;29;0;Abmaj7;2
140.625;0.125;4;4;71;2;2;0.5;4/4;75;29;0;Abmaj7;2
140.75;0.125;4;4;71;2;3;0.5;4/4;72;29;0;Abmaj7;2
140.875;0.25;4;4;71;2;4;0.5;4/4;68;29;0;Abmaj7;2
141.125;0.25;4;4;71;3;2;0.5;4/4;67;29;0;Abmaj7;2
141.375;0.25;4;4;71;3;4;0.5;4/4;65;29;0;Gm7b5;2
141.625;0.25;4;4;71;4;2;0.5;4/4;67;29;0;Gm7b5;2
141.875;0.25;4;4;71;4;4;0.5;4/4;68;29;0;Gm7b5;2
142.125;0.25;4;4;72;1;2;0.5;4/4;70;29;0;Gm7b5;2
142.375;0.25;4;4;72;1;4;0.5;4/4;73;29;0;Gm7b5;2
142.625;0.125;4;4;72;2;2;0.5;4/4;74;29;0;Gm7b5;2
142.75;0.125;4;4;72;2;3;0.5;4/4;73;29;0;Gm7b5;2
142.875;0.25;4;4;72;2;4;0.5;4/4;72;29;0;C79b;2
143.125;0.25;4;4;72;3;2;0.5;4/4;75;29;0;C79b;2
